ArtID;NavnDansk;LatArt
7544;krybstjerneslægten;Plagiomnium
7545;fælled-krybstjerne;Plagiomnium affine
7546;gærde-krybstjerne;Plagiomnium cuspidatum
7547;raslende krybstjerne;Plagiomnium elatum
7548;mose krybstjerne;Plagiomnium ellipticum
7549;stor krybstjerne;Plagiomnium medium
7550;næb-krybstjerne;Plagiomnium rostratum
7551;bølget krybstjerne;Plagiomnium undulatum
7552;stribemosslægten;Plagiopus
7553;oeders stribemos;Plagiopus oederi
7554;tæppemosfamilien;Plagiotheciaceae
7555;tæppemosslægten;Plagiothecium
7556;hulbladet tæppemos;Plagiothecium cavifolium
7557;gran-tæppemos;Plagiothecium curvifolium
7558;almindelig tæppemos;Plagiothecium denticulatum
7559;retkapslet tæppemos;Plagiothecium laetum
7560;spinkel tæppemos;Plagiothecium latebricola
7561;lund-tæppemos;Plagiothecium nemorale
7562;mose-tæppemos;Plagiothecium ruthei
7563;gylden tæppemos;Plagiothecium succulentum
7564;bølget tæppemos;Plagiothecium undulatum
7565;strømmosslægten;Plathypnidium
7566;robust strømmos;Plathypnidium riparioides
7567;spindmosslægten;Platydictya
7568;enkønnet spindmos;Platydictya jungermannioides
7569;tvekønnet spindmos;Platydictya subtile
7570;yngleknopslægten;Platygyrium
7571;mørk yngleknop;Platygyrium repens
7572;sylbladsmosslægten;Pleuridium
7573;siddende sylbladsmos;Pleuridium acuminatum
7574;kortstilket sylbladsmos;Pleuridium subulatum
7575;fyrremosslægten;Pleurozium
7576;trind fyrremos;Pleurozium schreberi
7577;urnekapselslægten;Pogonatum
7578;smal urnekapsel;Pogonatum aloides
7579;dværg-urnekapsel;Pogonatum nanum
7580;stor urnekapsel;Pogonatum urnigerum
7581;nikkemosslægten;Pohlia
7582;grus-nikkemos;Pohlia andalusica
7583;blød nikkemos;Pohlia annotina
7584;gulkuglet nikkemos;Pohlia bulbifera
7585;fin nikkemos;Pohlia camptotrachela
7586;opaliserende nikkemos;Pohlia cruda
7587;bæk-nikkemos;Pohlia drummondii
7588;langhalset nikkemos;Pohlia elongata
7589;tråd-nikkemos;Pohlia filum
7590;mørk nikkemos;Pohlia lescuriana
7591;gul nikkemos;Pohlia lutescens
7592;sand-nikkemos;Pohlia marchica
7593;almindelig nikkemos;Pohlia nutans
7594;snoet nikkemos;Pohlia proligera
7595;sphagnum-nikkemos;Pohlia sphagnicola
7596;jomfruhårfamilien;Polytrichaceae
7597;jomfrukapselslægten;Polytrichastrum
7598;grenet jomfrukapsel;Polytrichastrum alpinum
7599;skov-jomfrukapsel;Polytrichastrum formosum
7600;mose-jomfrukapsel;Polytrichastrum longisetum
7601;jomfruhårslægten;Polytrichum
7602;almindelig jomfruhår;Polytrichum commune
7603;ene-jomfruhår;Polytrichum juniperinum
7604;hårspidset jomfruhår;Polytrichum piliferum
7605;filtstænglet jomfruhår;Polytrichum strictum
7606;tvedelt jomfruhår;Polytrichum swartzii
7607;bægermosslægten;Pottia
7608;lukket bægermos;Pottia bryoides
7609;mark-bægermos;Pottia intermedia
7610;lancet-bægermos;Pottia lanceolata
7611;vidmundet bægermos;Pottia truncata
7612;bægermosfamilien;Pottiaceae
7613;nøgenmosslægten;Pseudephemerum
7614;jord-nøgenmos;Pseudephemerum nitidum
7615;sumpmosslægten;Pseudobryum
7616;sortstænglet sumpmos;Pseudobryum cinclidioides
7617;;Pseudocalliergon
